2020-06-17 00:43:47.070 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.delete
2020-06-17 00:43:47.072 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.deleteByMap
2020-06-17 00:43:47.075 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.deleteById
2020-06-17 00:43:47.078 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.deleteBatchIds
2020-06-17 00:43:47.083 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.update
2020-06-17 00:43:47.086 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.updateById
2020-06-17 00:43:47.087 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectById
2020-06-17 00:43:47.091 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectBatchIds
2020-06-17 00:43:47.104 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectByMap
2020-06-17 00:43:47.112 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectOne
2020-06-17 00:43:47.119 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectCount
2020-06-17 00:43:47.125 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectMaps
2020-06-17 00:43:47.128 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectMapsPage
2020-06-17 00:43:47.133 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectObjs
2020-06-17 00:43:47.136 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectList
2020-06-17 00:43:47.140 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.selectPage
2020-06-17 00:43:47.474 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PermissionDao.getAllPermission
2020-06-17 00:43:47.475 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PermissionDao.getAllMenu
2020-06-17 00:43:47.476 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PermissionDao.getUserPermission
2020-06-17 00:43:47.522 WARN  --- [TableInfoHelper.java:301][main] - Can not find table primary key in Class: "com.xr.run.entity.Postriskcombing".
2020-06-17 00:43:47.526 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.insert
